0.124188 4, 4, 4, 7, 5, 4, 10, 14, 13, 10, 13, 12
0.116008 13, 9, 7, 11, 10, 7, 12, 13, 12, 7, 11, 9
0.103144 14, 14, 14, 13, 13, 15, 13, 11, 4, 3, 9, 10
0.064927 7, 11, 8, 0, 7, 2, 3, -1, 1, 2, 2, 2
0.053027 3, 7, 8, 12, 8, 3, 5, 4, 6, 13, 7, 5
0.044077 4, 9, 5, 4, 10, 7, 14, 14, 15, 10, 13, 12
0.042718 2, 2, 2, 0, 1, 1, 7, 6, 6, 9, 10, 8
0.042113 14, 6, 4, 5, 7, 6, 15, 7, 6, 12, 11, 10
0.035454 13, 5, 3, -7, 0, 3, 7, 4, 3, 3, 3, 3
0.035193 3, 5, 8, 11, 13, 9, 13, 12, 11, 7, 11, 9
0.034956 4, 9, 5, 0, 9, 4, 11, 7, 6, 14, 8, 6
0.030464 3, 5, 8, 6, 5, 6, 8, 5, 5, 8, 5, 4
0.029792 13, 9, 7, 14, 8, 6, 8, 9, 9, 3, 5, 8
0.029616 13, 13, 13, 6, 8, 9, -2, -3, -3, 2, 2, 2
0.029065 13, 9, 7, 4, 3, 4, 1, 1, 2, 2, 2, 2
0.026335 14, 14, 14, 16, 14, 14, 9, 10, 9, 3, 4, 6
0.024670 2, 2, 2, 3, 4, 4, 0, -3, -2, 4, 6, 8
0.024607 6, 11, 8, 4, 9, 6, 10, 8, 7, 8, 7, 7
0.017455 14, 14, 14, 16, 15, 15, 8, 6, 7, 3, 7, 4
0.016888 12, 11, 10, 6, 3, 4, 3, 4, 3, 3, 3, 3
0.016057 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 9, 10
0.015793 13, 13, 13, 10, 12, 11, 14, 10, 10, 3, 8, 9
0.008364 3, 9, 10, 3, 8, 13, 3, 3, -1, 2, 5, 3
0.008270 2, 5, 3, 3, 5, 3, 9, 5, 5, 8, 5, 4
0.006438 3, 7, 8, 13, 6, 4, 0, 10, 5, 4, 9, 5
0.006102 3, 5, 8, 3, 4, 5, 5, 4, 3, 4, 4, 4
0.004994 3, 4, 6, 7, 6, 6, 5, 3, 6, 14, 7, 5
0.004337 3, 7, 8, 9, 9, 7, 3, 11, 7, 6, 11, 8
0.003193 2, 5, 3, 2, 5, 1, 4, 4, 4, 4, 6, 8
0.001754 15, 13, 11, 16, 13, 11, 11, 10, 9, 12, 11, 10
