0.133876 15, 14, 8, 17, 6, 0, 7, 5, 7, 5, 3, 3
0.126566 0, 0, 0, -3, 1, 2, 3, -3, -6, 7, 7, 8
0.115751 14, 7, 4, -10, -6, -2, 4, 2, 1, 0, 0, 0
0.114327 9, 8, 9, 0, -5, -7, -1, 1, 3, 0, 0, 0
0.105384 0, 0, 0, 3, 2, 2, -7, -5, -4, 10, 6, 5
0.103385 9, 8, 9, 8, 10, 10, 15, 8, 8, 15, 11, 5
0.076138 15, 12, 11, 13, 9, 10, 11, 10, 11, 7, 7, 8
0.056929 9, 4, 3, 21, 9, 2, 14, 17, 11, 14, 11, 11
0.040366 12, 10, 10, 13, 10, 9, 6, 3, 2, 5, 3, 3
0.034828 7, 7, 8, 7, 8, 7, 14, 5, 3, 9, 4, 3
0.033682 13, 10, 10, 13, 11, 12, 14, 8, 4, 14, 7, 4
0.031140 9, 5, 4, 14, 7, 4, 10, 11, 12, 9, 8, 9
0.016028 15, 12, 11, 17, 12, 11, 9, 7, 6, 9, 5, 4
0.011598 15, 14, 8, 17, 11, 7, 10, 9, 11, 12, 10, 10
